f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,price,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price.1,neighbourhood_cleansed,cancellation_policy,room_type,property_type,flag_n_bathrooms,flag_n_beds,flag_n_review_scores_rating,flag_n_reviews_per_month,flag_days_since
Apartment,Private room,strict,Real Bed,Hackney,38.0,2,1.0,100.0,1,1,0.19,0,3,1.0,155.0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,38.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,190.0,4,1.0,100.0,2,1,0.53,20,90,2.0,113.0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,190.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,moderate,Couch,Hackney,49.0,2,1.0,97.0,26,1,1.54,9,2,1.0,507.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,49.0,Hackney,moderate,Private room,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,85.0,2,1.0,96.0,6,1,0.25,0,2,1.0,725.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,85.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,180.0,4,1.0,92.0,47,1,3.64,0,1,2.0,386.0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,180.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,moderate,Real Bed,Hackney,55.0,2,1.0,93.0,3,1,0.09,15,7,1.0,970.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,55.0,Hackney,moderate,Private room,House,0,0,0,0,0
House,Entire home/apt,strict,Real Bed,Hackney,109.0,7,1.0,95.0,16,1,0.83,0,3,6.0,575.0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,109.0,Hackney,strict,Entire home/apt,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,90.0,2,1.0,100.0,5,2,0.95,15,1,1.0,157.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,90.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,132.0,4,1.0,98.0,12,1,1.25,0,3,2.0,286.0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,132.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Couch,Hackney,35.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Private room,flexible,Real Bed,Hackney,25.0,1,1.0,100.0,1,1,0.09,0,1,1.0,321.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,40.0,2,2.5,100.0,2,1,0.25,0,1,1.0,236.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,40.0,Hackney,flexible,Private room,House,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,200.0,6,1.0,95.0,8,1,0.88,0,4,6.0,271.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,200.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,75.0,2,1.0,84.0,79,1,1.53,0,1,1.0,1544.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,75.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,55.0,2,1.0,90.0,14,1,0.61,20,1,1.0,685.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,30.0,1,1.0,100.0,1,1,0.2,0,1,1.0,150.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,30.0,Hackney,flexible,Private room,House,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,37.0,1,1.5,80.0,3,1,0.16,0,60,1.0,560.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,37.0,Hackney,flexible,Private room,House,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,70.0,2,1.0,85.0,8,1,1.28,5,1,1.0,186.0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,70.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Private room,moderate,Real Bed,Hackney,35.0,1,1.0,96.0,0,1,0.51,0,7,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,35.0,Hackney,moderate,Private room,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,120.0,4,1.0,100.0,1,1,0.24,0,3,1.0,122.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,120.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,25.0,3,1.0,84.0,29,1,0.75,10,2,3.0,1156.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,25.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
House,Entire home/apt,flexible,Real Bed,Hackney,150.0,6,1.5,96.0,0,1,0.51,0,6,5.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,Hackney,flexible,Entire home/apt,House,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,178.0,7,1.0,96.0,77,1,1.38,6,1,3.0,1674.0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,178.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,flexible,Real Bed,Hackney,79.0,4,1.0,100.0,15,2,0.92,20,2,3.0,489.0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,79.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,75.0,3,1.0,100.0,1,1,0.45,0,2,2.0,66.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,75.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,49.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Entire home/apt,moderate,Real Bed,Hackney,85.0,2,1.0,96.0,0,1,0.51,0,1,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,85.0,Hackney,moderate,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,flexible,Real Bed,Hackney,72.0,2,1.0,100.0,3,1,0.27,0,5,1.0,337.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,72.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,300.0,4,2.0,94.0,50,1,3.91,0,1,2.0,383.0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,300.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,82.0,2,1.0,87.0,7,1,0.26,50,2,1.0,808.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,82.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,85.0,2,1.0,100.0,5,1,0.44,50,2,1.0,343.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,85.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,25.0,1,1.0,96.0,0,1,0.51,0,3,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,25.0,Hackney,strict,Private room,Apartment,0,0,1,1,1
House,Private room,strict,Real Bed,Hackney,55.0,2,1.0,97.0,12,2,0.62,20,2,1.0,581.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,55.0,Hackney,strict,Private room,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,110.0,4,1.0,100.0,1,1,0.06,0,3,2.0,500.0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,110.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,35.0,2,1.0,96.0,0,1,0.51,0,1,1.0,399.0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,35.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Private room,flexible,Real Bed,Hackney,20.0,1,0.0,100.0,1,1,0.08,0,1,1.0,359.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,20.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,300.0,6,2.0,93.0,48,1,3.77,0,1,3.0,381.0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,300.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,90.0,5,2.0,96.0,0,1,0.51,20,5,3.0,399.0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,90.0,Hackney,strict,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,103.0,2,1.0,98.0,10,2,0.32,0,2,1.0,926.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,103.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,75.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,75.0,Hackney,flexible,Private room,Apartment,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,79.0,2,1.0,85.0,30,1,1.53,0,1,1.0,587.0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,79.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,flexible,Real Bed,Hackney,99.0,5,1.0,96.0,0,2,0.51,15,7,3.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,99.0,Hackney,flexible,Entire home/apt,Apartment,0,0,1,1,1
Apartment,Entire home/apt,moderate,Real Bed,Hackney,65.0,2,1.0,100.0,2,1,0.28,0,5,1.0,212.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,65.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,78.0,3,1.0,93.0,11,1,1.68,0,2,1.0,195.0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,78.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,34.0,2,1.0,100.0,2,1,0.71,9,1,1.0,84.0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,34.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Private room,strict,Real Bed,Hackney,30.0,1,1.0,93.0,6,1,3.27,0,3,1.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,30.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
House,Entire home/apt,strict,Real Bed,Hackney,200.0,4,1.0,96.0,0,1,0.51,0,6,3.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200.0,Hackney,strict,Entire home/apt,House,0,0,1,1,1
Apartment,Private room,moderate,Real Bed,Hackney,45.0,2,1.0,96.0,0,1,0.51,0,2,1.0,399.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.0,Hackney,moderate,Private room,Apartment,0,0,1,1,1
Apartment,Entire home/apt,flexible,Real Bed,Hackney,200.0,5,2.0,100.0,1,1,0.07,0,7,2.0,422.0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,200.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,flexible,Real Bed,Hackney,79.0,2,1.0,90.0,2,2,0.5,20,3,1.0,118.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,79.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,25.0,1,1.0,100.0,1,1,0.14,0,5,1.0,215.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
House,Private room,moderate,Real Bed,Hackney,45.0,2,1.0,99.0,171,1,3.65,0,2,1.0,1405.0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,45.0,Hackney,moderate,Private room,House,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,45.0,2,1.0,90.0,2,1,0.3,0,1,2.0,201.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,45.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Entire home/apt,strict,Real Bed,Hackney,95.0,4,1.0,78.0,15,3,0.26,25,3,2.0,1732.0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,95.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,moderate,Real Bed,Hackney,40.0,2,1.0,100.0,7,1,1.88,0,2,1.0,111.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,40.0,Hackney,moderate,Private room,Apartment,0,0,0,0,0
Apartment,Entire home/apt,flexible,Real Bed,Hackney,70.0,2,1.0,100.0,2,1,0.25,0,1,1.0,235.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,70.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,95.0,1,2.5,96.0,0,1,0.51,0,3,1.0,399.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95.0,Hackney,flexible,Private room,House,0,0,1,1,1
Apartment,Entire home/apt,strict,Real Bed,Hackney,60.0,4,2.0,90.0,2,1,0.06,0,7,2.0,951.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,60.0,Hackney,strict,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,flexible,Real Bed,Hackney,50.0,2,1.0,95.0,4,2,0.21,0,2,1.0,583.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,60.0,2,1.0,100.0,7,1,2.66,0,2,1.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,60.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
Apartment,Entire home/apt,flexible,Real Bed,Hackney,100.0,4,1.0,100.0,1,1,0.11,0,1,2.0,271.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,100.0,Hackney,flexible,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,129.0,4,1.0,100.0,4,1,4.0,0,2,2.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,129.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,90.0,2,1.0,92.0,25,2,1.76,15,2,1.0,426.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,90.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,30.0,2,1.0,96.0,0,1,0.51,0,1,1.0,399.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,30.0,Hackney,flexible,Private room,House,0,0,1,1,1
Apartment,Private room,strict,Real Bed,Hackney,46.0,2,1.0,97.0,50,1,1.49,20,1,1.0,1008.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,46.0,Hackney,strict,Private room,Apartment,0,0,0,0,0
Apartment,Private room,flexible,Real Bed,Hackney,25.0,2,1.0,90.0,2,1,0.18,0,3,1.0,338.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25.0,Hackney,flexible,Private room,Apartment,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,35.0,3,1.0,95.0,4,1,0.13,10,1,2.0,929.0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,35.0,Hackney,flexible,Private room,House,0,0,0,0,0
House,Private room,flexible,Real Bed,Hackney,25.0,2,1.0,100.0,1,1,0.48,0,5,1.0,62.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.0,Hackney,flexible,Private room,House,0,0,0,0,0
Apartment,Entire home/apt,moderate,Real Bed,Hackney,110.0,4,1.0,100.0,3,2,0.35,5,3,2.0,257.0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,110.0,Hackney,moderate,Entire home/apt,Apartment,0,0,0,0,0
