f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,price,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,neighbourhood_cleansed,cancellation_policy,room_type,property_type,neighbourhood_cleansed
House,Private room,strict,Real Bed,Southwark,70.0,2,1.0,100.0,1,1,0.47,0,30,1.0,62.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Southwark,strict,Private room,House,Southwark
Apartment,Private room,strict,Real Bed,Southwark,85.0,4,1.0,84.0,30,2,3.5999999,0,3,2.0,248.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Shared room,flexible,Real Bed,Southwark,45.0,2,1.0,93.0,4,1,0.51999998,20,1,1.0,230.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Southwark,flexible,Shared room,Apartment,Southwark
House,Private room,strict,Real Bed,Southwark,25.0,2,1.0,100.0,2,2,1.15,100,2,1.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,Southwark,strict,Private room,House,Southwark
House,Entire home/apt,strict,Real Bed,Southwark,140.0,4,2.0,93.0,23,4,0.50999999,10,3,2.0,1362.0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,strict,Entire home/apt,House,Southwark
House,Private room,flexible,Real Bed,Southwark,54.0,4,2.0,79.0,29,3,1.45,22,1,3.0,600.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,Southwark,flexible,Private room,House,Southwark
House,Private room,flexible,Real Bed,Southwark,40.0,2,1.0,,0,1,,0,1,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Southwark,flexible,Private room,House,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,60.0,1,1.5,,2,1,0.33000001,0,7,1.0,180.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,72.0,2,1.0,95.0,4,1,2.79,0,1,1.0,41.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,32.0,1,1.0,80.0,2,1,0.63,0,2,1.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,105.0,3,2.0,70.0,3,1,0.54000002,0,3,3.0,166.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,207.0,4,1.0,,0,1,,0,3,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,95.0,4,1.0,96.0,20,2,4.8400002,15,2,2.0,122.0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,85.0,4,1.0,100.0,2,2,0.5,10,2,1.0,117.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,69.0,2,1.0,90.0,16,1,0.72000003,0,1,1.0,664.0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,350.0,6,2.0,90.0,16,4,1.3099999,20,2,2.0,364.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,40.0,1,1.5,,0,1,,0,1,1.0,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,178.0,6,1.5,92.0,26,5,2.4100001,0,2,3.0,322.0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,149.0,4,1.0,95.0,13,1,0.23,20,5,2.0,1708.0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,75.0,4,1.0,100.0,8,1,0.99000001,0,3,2.0,241.0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,63.0,2,1.0,,0,1,,0,1,1.0,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,240.0,7,2.0,,0,1,,0,4,3.0,,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,99.0,6,1.0,87.0,41,4,4.8000002,10,3,3.0,254.0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,70.0,2,1.0,96.0,30,1,1.88,0,1,1.0,476.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Private room,moderate,Real Bed,Southwark,70.0,2,1.0,100.0,3,1,1.45,0,2,1.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Southwark,moderate,Private room,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,35.0,2,1.0,96.0,72,1,3.78,8,1,1.0,570.0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Shared room,strict,Real Bed,Southwark,35.0,1,1.0,100.0,4,1,0.81,0,1,1.0,147.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,Southwark,strict,Shared room,Apartment,Southwark
House,Entire home/apt,moderate,Real Bed,Southwark,130.0,5,2.5,,0,1,,0,4,3.0,,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,House,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,99.0,2,1.0,100.0,8,1,0.91000003,0,2,1.0,262.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,81.0,2,1.0,97.0,7,1,2.26,0,2,1.0,91.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,55.0,8,1.0,82.0,38,1,3.5,15,2,5.0,324.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,139.0,4,2.0,,0,1,,0,1,2.0,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,175.0,6,2.0,96.0,15,1,3.95,0,2,3.0,112.0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,155.0,7,1.5,100.0,1,1,0.07,0,7,5.0,428.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,102.0,4,1.0,93.0,128,4,5.1999998,0,3,2.0,737.0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,79.0,2,1.0,93.0,15,1,0.34,0,7,1.0,1315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
House,Private room,strict,Real Bed,Southwark,37.0,2,1.0,86.0,14,1,3.3599999,0,1,1.0,123.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Southwark,strict,Private room,House,Southwark
House,Private room,flexible,Real Bed,Southwark,45.0,2,1.0,,0,1,,0,1,1.0,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Southwark,flexible,Private room,House,Southwark
Apartment,Private room,moderate,Real Bed,Southwark,45.0,2,1.0,93.0,45,1,3.01,0,2,1.0,446.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Southwark,moderate,Private room,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,220.0,2,1.0,,0,1,,0,3,1.0,,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
House,Private room,strict,Real Bed,Southwark,27.0,1,1.0,,1,1,0.16,0,60,1.0,187.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,Southwark,strict,Private room,House,Southwark
Apartment,Private room,strict,Real Bed,Southwark,27.0,2,1.5,82.0,27,1,4.2600002,8,1,1.0,188.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,27.0,1,1.0,93.0,4,1,0.34,0,14,1.0,350.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,42.0,2,1.0,,0,1,,0,2,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,58.0,1,1.0,98.0,72,1,1.8200001,0,1,1.0,1184.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,104.0,2,1.0,100.0,1,1,1.0,0,1,1.0,12.0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
House,Private room,moderate,Real Bed,Southwark,38.0,2,1.5,96.0,21,1,2.8,10,1,1.0,223.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,Southwark,moderate,Private room,House,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,94.0,6,2.5,80.0,1,1,1.0,0,2,3.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,30.0,3,1.5,81.0,32,1,4.8200002,8,1,2.0,197.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,60.0,3,1.0,83.0,6,1,0.23999999,0,10,2.0,742.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,95.0,3,2.0,,0,1,,0,1,2.0,,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Private room,moderate,Real Bed,Southwark,37.0,2,1.0,,0,1,,0,10,1.0,,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Southwark,moderate,Private room,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,98.0,2,1.0,91.0,14,2,3.3299999,20,1,1.0,124.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
House,Private room,flexible,Real Bed,Southwark,55.0,1,1.0,,0,1,,0,1,1.0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,Southwark,flexible,Private room,House,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,220.0,2,1.0,,0,1,,0,3,1.0,,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,175.0,6,2.0,94.0,14,2,0.56999999,10,4,2.0,732.0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,230.0,4,2.0,100.0,9,1,0.70999998,0,2,2.0,379.0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,175.0,5,2.0,96.0,19,4,1.27,30,4,2.0,448.0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
House,Entire home/apt,moderate,Real Bed,Southwark,75.0,2,1.0,100.0,5,1,0.81,0,1,1.0,184.0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,House,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,45.0,6,1.0,92.0,18,1,1.13,25,1,4.0,475.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,33.0,2,1.0,98.0,11,1,2.4400001,0,2,1.0,133.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Entire home/apt,flexible,Real Bed,Southwark,155.0,4,1.0,93.0,12,2,1.87,25,2,2.0,191.0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,flexible,Entire home/apt,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,70.0,2,2.5,,0,1,,30,1,1.0,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Private room,moderate,Real Bed,Southwark,70.0,2,1.0,93.0,12,1,4.1900001,0,1,1.0,84.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Southwark,moderate,Private room,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,78.0,4,1.0,90.0,2,2,0.44999999,18,1,1.0,130.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,strict,Real Bed,Southwark,70.0,5,1.0,94.0,7,2,0.60000002,10,3,1.0,346.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,strict,Entire home/apt,Apartment,Southwark
Apartment,Entire home/apt,moderate,Real Bed,Southwark,75.0,4,2.0,,0,1,,0,4,5.0,,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Entire home/apt,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,32.0,2,1.0,81.0,15,1,0.79000002,10,5,1.0,566.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,30.0,2,1.5,,0,1,,0,3,1.0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Private room,moderate,Real Bed,Southwark,56.0,2,1.0,98.0,19,1,0.93000001,0,1,1.0,608.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Southwark,moderate,Private room,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,65.0,2,1.0,98.0,31,1,5.2199998,15,1,1.0,176.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Southwark,strict,Private room,Apartment,Southwark
Apartment,Private room,flexible,Real Bed,Southwark,55.0,2,1.0,93.0,8,1,1.53,0,1,1.0,155.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Southwark,flexible,Private room,Apartment,Southwark
Apartment,Private room,strict,Real Bed,Southwark,35.0,2,1.0,93.0,6,1,0.70999998,5,1,1.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Southwark,strict,Private room,Apartment,Southwark
